name,affiliate,country,parent,total,dems,repubs
ABB Group ,ABB Group,Switzerland,Asea Brown Boveri,1000,1000,0
Accenture ,Accenture,Ireland,Accenture plc,75500,46000,29500
Advance America Cash Advance Centers ,Grupo Salinas,Mexico,Grupo Salinas,3000,1000,2000
Air Liquide America,NA,France,L'Air Liquide SA,11500,5000,6500
Airbus Group,NA,Netherlands,Airbus Group,79000,26500,52500
Alkermes Inc,NA,Ireland,Alkermes Plc,40250,11250,29000
Allergan PLC ,Allergan PLC,Ireland,Allergan PLC,98500,6000,92500
Allianz of America ,Allianz,Germany,Allianz AG Holding,34500,16100,18400
Anheuser-Busch ,Anheuser-Busch InBev,Belgium,Anheuser-Busch InBev,218500,109000,109500
AON Corp ,AON plc,UK,AON PLC,29500,14000,15500
APL Maritime ,CMA CGM,France,CMA CGM SA,14000,8500,5500
Arcadis US ,Arcadis NV,Netherlands,Arcadis NV,0,0,0
ArcelorMittal USA,NA,Luxembourg,ArcelorMittal,21500,4000,17500
Arch Capital Group ,US,UK,Arch Capital Group,7000,3500,3500
Arkema Inc,NA,France,Arkema,43500,17000,26500
Ash Grove ,CRH Plc,Ireland,CRH PLC,0,0,0
Ashton Woods Corp,NA,Canada,Great Gulf Group,0,0,0
Assured Guaranty Municipal Corp ,Assured Guaranty US Holdings,UK,Assured Guaranty Ltd,67500,38100,29400
Astellas US,NA,Japan,Astellas Pharma,40000,29000,11000
AstraZeneca Pharmaceuticals ,AstraZeneca PLC,UK,AstraZeneca PLC,115500,53500,62000
Atkins North America,NA,UK,WS Atkins PLC,9700,0,9700
Austal USA,NA,Australia,Austal,6200,2700,3500
Avangrid Inc ,Iberdrola SA,Spain,Iberdrola SA,27000,10500,14000
AXA Equitable Life Insurance ,AXA,France,AXA,41000,13500,27500
Bacardi USA,NA,UK,Bacardi Ltd,11500,4500,6000
BAE Systems ,BAE Systems,UK,BAE Systems,301000,147000,154000
Barclays Group US,NA,UK,Barclays plc,18000,8000,10000
Barrick Goldstrike Mines,NA,Canada,Barrick Gold Corp,11000,6500,4500
BASF Corp,NA,Germany,BASF SE,126500,57500,69000
Bayer Corp ,Bayer AG,Germany,Bayer AG,103000,41500,61500
Bayer CropScience ,Bayer AG,Germany,Bayer AG,-4500,-4500,0
BBVA USA,NA,Spain,Banco Bilbao Vizcaya Argentaria,154500,44000,110500
Beam Suntory ,Suntory Holdings,Japan,Suntory Holdings,14331,9500,4831
BMO Financial Corp ,Bank of Montreal,Canada,Bank of Montreal,0,0,0
BMO Financial Corp ,Bank of Montreal,Canada,Bank of Montreal,80300,37800,42500
Boehringer Ingelheim Corp,NA,Germany,CH Boehringer Sohn,48500,23000,25500
Bombardier Transportation USA ,Bombardier Inc,Canada,Bombardier Inc,27500,17500,10000
BP,NA,UK,BP PLC,104500,28000,76500
Bridgestone Americas,NA,Japan,Bridgestone Corp,7500,2500,5000
Bumble Bee Foods,NA,UK,Lion Capital,1000,1000,0
"Burson, Cohn & Wolfe ",WPP Group,UK,WPP Group,21000,8500,12500
Buzzi Unicem USA ,Buzzi Unicem SpA,Italy,Buzzi Unicem SpA,500,0,500
CalPortland Co,NA,Japan,Taiheiyo Cement Co,30000,10000,20000
Cardtronics Inc,NA,UK,Cardtronics Plc,0,0,0
Carmeuse Lime,NA,Netherlands,Carmeuse Holding SA,0,0,0
Case New Holland,NA,Netherlands,CNH Global,36500,1500,35000
CEMEX Inc,NA,Mexico,CEMEX SA de CV,56000,23500,32500
