Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made,Subject
[Unknown] Black,Untitled,1963,20th century; 1960s,Portrait of a woman,graphite (mineral)/inorganic material/materials (substances); paper (fibre product),45.1cm H x 33cm W,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,"Signature on drawing reads ""Black"", this is then written again on the border, followed by ""D/P. 1963"". In the top right corner of the borner the name Black is written again.",EU2907,https://collections.ed.ac.uk/art/record/22024?highlight=*:*,NA,NA,NA
A McIntosh,Rooftops,NA,NA,NA,paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2339,https://collections.ed.ac.uk/art/record/21465?highlight=*:*,NA,NA,NA
A Robson,Seated Male Nude,19 Nov 1958,20th century; 1950s,Gained his Diploma in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1810,https://collections.ed.ac.uk/art/record/20937?highlight=*:*,NA,NA,NA
A Robson,Portrait of a Man,19 Nov 1958,20th century; 1950s,Gained his Diploma in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1809,https://collections.ed.ac.uk/art/record/20936?highlight=*:*,NA,NA,NA
A Scott,Portrait of a Woman,1953,20th century; 1950s,Drawing from a Diploma examination.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2071,https://collections.ed.ac.uk/art/record/21198?highlight=*:*,NA,NA,NA
A Sinclair,Poirtrait of a Man,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU2314,https://collections.ed.ac.uk/art/record/21440?highlight=*:*,NA,NA,NA
A Sinclair,Portrait of a Man,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances); paper (fibre product),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2357,https://collections.ed.ac.uk/art/record/21483?highlight=*:*,NA,NA,NA
A Sinclair,Portrait of a Man,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2345,https://collections.ed.ac.uk/art/record/21471?highlight=*:*,NA,NA,NA
A Wrever,Standing Male Nude,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1732,https://collections.ed.ac.uk/art/record/20859?highlight=*:*,NA,NA,NA
A. Geraldine Gowan,Untitled,Unknown,NA,"Female nude, seated and stretching on a bed.",NA,75.2cm H x 47cm W,Art Collection; Edinburgh College of Art,prints (visual works),A. Geraldine Gowan signature 'Edinburgh A. Geraldine Gowan' written on reverse in pencil,EU2455,https://collections.ed.ac.uk/art/record/21580?highlight=*:*,NA,NA,NA
A. Patterson Barclay,Untitiled,1934,20th century; 1930s,"Landscape. Village, hills and fields.",NA,NA,Art Collection; Edinburgh College of Art,prints (visual works); etchings (prints),NA,EU2678,https://collections.ed.ac.uk/art/record/21803?highlight=*:*,NA,NA,NA
A. Thomas,Untitled,NA,NA,Pencil paper of human skeleton. Sketch at the left,pencil (marking material)/materials (substances),50.8 cm (L) x 31 cm (W),Art Collection; Edinburgh College of Art,pencil drawings,NA,EU5687,https://collections.ed.ac.uk/art/record/111045?highlight=*:*,NA,NA,NA
"Adam Bruce Thomson (b.1885, d.1976)",Portrait of a Woman in a Headdress,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1701,https://collections.ed.ac.uk/art/record/20828?highlight=*:*,NA,NA,NA
Adam Hogg,Portrait of Man in a Hat,1951,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2112,https://collections.ed.ac.uk/art/record/21239?highlight=*:*,NA,NA,NA
Adam M Martin,Kneeling Male Nude,1953,20th century; 1950s,Gained his Diploma in 1953.,chalk,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1931,https://collections.ed.ac.uk/art/record/21058?highlight=*:*,NA,NA,NA
Adam M Martin,Unttiled,Unknown,NA,"Two women, sitting back to back in a tea room.",NA,55.5cm H x 40.5cm W (with mount) 29cm H x 22.7cm W,Art Collection; Edinburgh College of Art,NA,Adam M. Martin signature,EU2707,https://collections.ed.ac.uk/art/record/21830?highlight=*:*,NA,NA,NA
Adam Robson,Standing Male Nude,1952,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1682,https://collections.ed.ac.uk/art/record/20809?highlight=*:*,NA,NA,NA
Adam Robson,Standing Male Nude with staff,1949-1952,20th century; 1940s; 1950s,NA,chalk,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1685,https://collections.ed.ac.uk/art/record/20812?highlight=*:*,NA,NA,NA
Adam Robson,Standing Male Nude,1952,20th century; 1950s,NA,chalk,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1683,https://collections.ed.ac.uk/art/record/20810?highlight=*:*,NA,NA,NA
Adam Robson,Reclining Male Nude,25 Nov 1949,20th century; 1940s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1684,https://collections.ed.ac.uk/art/record/20811?highlight=*:*,NA,NA,NA
Adri C Chrichton,Architectural Drawing,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2388,https://collections.ed.ac.uk/art/record/21514?highlight=*:*,NA,NA,NA
Adrian Rodriguez,Untitled,2002,2000s,"Dry point etching on paper, depicting a scene from a circus of a knive thrower juggling 6 swords. Hand drawn quality to it.",paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Art Collection; Edinburgh College of Art,etchings (prints); drypoint,Edition 1/40,EU5172,https://collections.ed.ac.uk/art/record/99944?highlight=*:*,NA,NA,NA
Ahjae Lim,Untitled,2002,2000s,"2 plate etching, brightly coloured print of asbtract form on paper.",paper (fibre product),NA,Art Collection; Art Collection; Edinburgh College of Art,etchings (prints),Edition 16/30,EU5164,https://collections.ed.ac.uk/art/record/99936?highlight=*:*,NA,NA,NA
Ailsa Robertson,Portrait of Woman with Hand on her Head,1950,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances); paper (fibre product),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1676,https://collections.ed.ac.uk/art/record/20803?highlight=*:*,NA,NA,NA
Aimee Laporte,Untitled,2006,2000s,"Six-colour screenprint in purple, red, green, orange, yellow and black. Depicting a candy skull-esque Christmas scene.",Print,NA,Art Collection; Edinburgh College of Art,screen prints,Edition 11/30,EU5107,https://collections.ed.ac.uk/art/record/99880?highlight=*:*,NA,NA,NA
Ainsley Francis,Distortion 1,2014,NA,Wood and glass camera obscura. Awarded ECA Collections Purchase Prize 2014,glass (material)/inorganic material/materials (substances); wood (plant material)/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,sculpture; sculpture,NA,EU2977,https://collections.ed.ac.uk/art/record/47452?highlight=*:*,NA,NA,NA
Ainsley Francis,Distortion 2,2014,NA,Wood and glass camera obscura. Awarded ECA Collections Purchase Prize 2014,glass (material)/inorganic material/materials (substances); wood (plant material)/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,sculpture; sculpture,NA,EU2978,https://collections.ed.ac.uk/art/record/47453?highlight=*:*,NA,NA,NA
Aitons Bytautus,Hill Fence,1976,NA,Hills with close-up of barbed wire fence in foreground,paper (fibre product); ink/coating (material)/materials (substances),34cm (W) x 54cm (H),Art Collection; Edinburgh College of Art,prints (visual works); etchings (prints),NA,EU3311,https://collections.ed.ac.uk/art/record/50385?highlight=*:*,NA,NA,NA
Alan Alexander,Baroque Nude,1959,20th century; 1950s,Gained his PG in 1959 at ECA.,paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,lithographs,NA,EU1965,https://collections.ed.ac.uk/art/record/21092?highlight=*:*,NA,NA,NA
Alan Alexander,Portrait of a Seated Figure,1958,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2037,https://collections.ed.ac.uk/art/record/21164?highlight=*:*,NA,NA,NA
Alan Alexander,Portrait of Woman in a Hat,1958,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2038,https://collections.ed.ac.uk/art/record/21165?highlight=*:*,NA,NA,NA
Alan Alexander,Portrait of Woman Seated,1958,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2039,https://collections.ed.ac.uk/art/record/21166?highlight=*:*,NA,NA,NA
Alan Bartram,Untitled,1955,1950s,Linocut of a dessert scene with a donkey in the foreground,paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,prints (visual works); linocuts (prints); woodcuts (prints),No signature,EU5054,https://collections.ed.ac.uk/art/record/99827?highlight=*:*,NA,NA,NA
Alan Bartram,Untitled,1955,1950s,Linocut of desert farming scene in warm colour palette.,paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,prints (visual works); linocuts (prints); woodcuts (prints),No signature,EU5055,https://collections.ed.ac.uk/art/record/99828?highlight=*:*,NA,NA,NA
Alan Brown,Untitled,1971,20th century; 1970s,"Pencil drawing of a man with long curly hair, looking to the side",graphite (mineral)/inorganic material/materials (substances),55.2cm H x 44.6cm W,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,"Bottom left hand corner of front - red sticker next to artists name, course and date - ""Alan Brown. D/P. 71"" On the right hand corner there is a stamp ""College of Art, Lauriston Place, Edinburgh""",EU2903,https://collections.ed.ac.uk/art/record/22020?highlight=*:*,NA,NA,NA
Alan Brown,Spring Board,Circa 1971,20th century; 1960s; 1970s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3139,https://collections.ed.ac.uk/art/record/22584?highlight=*:*,NA,NA,NA
Alan Chisholm,Unknown,NA,20th century,"Still life. Two stone slabs side by side, the left with a reclined face carved on top and the right two hands holding one another.",watercolour (paint)/paint (coating),42cm (W) x 54cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3331,https://collections.ed.ac.uk/art/record/50405?highlight=*:*,NA,NA,NA
"Alan Davie (b.1920, d.2014)",Munich Olympics,1972,20th century; 1970s,Signed poster,paper (fibre product); ink/coating (material)/materials (substances),124cm H x 83cm W,Art Collection; Edinburgh College of Art,prints (visual works),Alan Davie signature,EU2410,https://collections.ed.ac.uk/art/record/21536?highlight=*:*,NA,NA,NA
"Alan Davie (b.1920, d.2014)",Abstract with Circles,Circa 1945,NA,NA,acrylic paint/paint (coating); paper (fibre product); hardboard/wood board/plant material/materials (substances),72 x 80 cm,Art Collection; Edinburgh College of Art,NA,NA,EU1622,https://collections.ed.ac.uk/art/record/20749?highlight=*:*,NA,NA,NA
"Alan Davie (b.1920, d.2014)",Fox Watch No.1,1970,20th century; 1970s,Abstract lithograph,paper (fibre product); ink/coating (material)/materials (substances),97cm W x 82cm H (framed),Art Collection; Edinburgh College of Art,prints (visual works); lithographs,Alan Davie signature,EU2570,https://collections.ed.ac.uk/art/record/21695?highlight=*:*,NA,NA,NA
Alan Dempster,Standing Male Nude,1960s,20th century; 1960s,Undated drawing from an ECA examination.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2150,https://collections.ed.ac.uk/art/record/21277?highlight=*:*,NA,NA,NA
Alan J Mcleod,Unknown,NA,20th century,"Abstract composition with two brown lines following lines of the edges of the composition, a red field surrounded by white, and two overlapping blue fields.",mixed media/materials (substances); paper (fibre product); paint (coating),38.7cm (W) x 44.7cm (H),Art Collection; Edinburgh College of Art,mixed media works,NA,EU3696,https://collections.ed.ac.uk/art/record/53605?highlight=*:*,NA,NA,NA
Alan J Mcleod,Unknown,NA,20th century,Abstract natural forms are surrounded by white collage on three sides and string adhered to paper below.,mixed media/materials (substances); paper (fibre product); String,39cm (W) x 44.5cm (H),Art Collection; Edinburgh College of Art,mixed media works; prints (visual works); etchings (prints),NA,EU3695,https://collections.ed.ac.uk/art/record/53604?highlight=*:*,NA,NA,NA
Alan Kemp,Portrait of a Man with a Beard,1959,20th century; 1950s,Gained his Diploma in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1776,https://collections.ed.ac.uk/art/record/20903?highlight=*:*,NA,NA,NA
Alan Kemp,Portrait of a Man,1959,20th century; 1950s,Gained his Diploma in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1775,https://collections.ed.ac.uk/art/record/20902?highlight=*:*,NA,NA,NA
Alan Lefley (d.2016),Unknown,1946,1940s,Anatomical study of forearm and of male head viewed from below,graphite (mineral)/inorganic material/materials (substances),15cm (W) x 33.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3413,https://collections.ed.ac.uk/art/record/50487?highlight=*:*,NA,NA,NA
Alan Lefley (d.2016),Unknown,1946,1940s,Anatomical study of hand a forearm. Shown side-on and from above,graphite (mineral)/inorganic material/materials (substances),25.5cm (W) x 32cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3411,https://collections.ed.ac.uk/art/record/50485?highlight=*:*,NA,NA,NA
Alan Lefley (d.2016),Unknown,1946,1940s,Nude male figure standing and depicted from behind,graphite (mineral)/inorganic material/materials (substances),16.5cm (W) x 39cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3410,https://collections.ed.ac.uk/art/record/50484?highlight=*:*,NA,NA,NA
Alan Lefley (d.2016),Unknown,1946,1940s,Anatomical study of biceps and forearms,graphite (mineral)/inorganic material/materials (substances),28cm (W) x 21cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3412,https://collections.ed.ac.uk/art/record/50486?highlight=*:*,NA,NA,NA
Alan M. Alexander,Unknown,15 Feb 1956,1950s; 20th century,Profile full length portrait of female figure in long high-collared dress holding an umbrella.,graphite (mineral)/inorganic material/materials (substances),31.2cm (W) x 59cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3519,https://collections.ed.ac.uk/art/record/50593?highlight=*:*,NA,NA,NA
Alan M. Alexander,Unknown,1956,1950s; 20th century,"Full length portrait of two seated female figures in long high-collared dresses. The figure in the foreground has her right arm across her lap and is presented in three quarter view, while the figure in the background is in profile.",graphite (mineral)/inorganic material/materials (substances),18.1cm (W) x 45cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3523,https://collections.ed.ac.uk/art/record/50597?highlight=*:*,NA,NA,NA
Alan M. Alexander,11. Ann Monotype,1959,1950s; 20th century,"Portrait of female figure positioned to right of composition, with short dark hair and a green sleeveless dress. Leaning on table with left arm under chin. Glass with flowers on table, shutter and elaborate window in background.",watercolour (paint)/paint (coating),44.3cm (W) x 57.5cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3526,https://collections.ed.ac.uk/art/record/50600?highlight=*:*,NA,NA,NA
Alan M. Alexander,Unknown,1960,1960s; 20th century,Stylised representation of purple and gold goblet containing the caduceus alongside a smaller vessel on the right and an unidentifiable object on the right. Objects are framed within a church window sill.,crayons (drawing material); watercolour (paint)/paint (coating),33cm (W) x 42cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3521,https://collections.ed.ac.uk/art/record/50595?highlight=*:*,NA,NA,NA
Alan M. Alexander,Unknown,NA,1950s; 20th century,"Full length study of controposto nude male figure with left arm raised and left foot behind right, looking down and to his left.",graphite (mineral)/inorganic material/materials (substances),22cm (W) x 49.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3525,https://collections.ed.ac.uk/art/record/50599?highlight=*:*,NA,NA,NA
Alan M. Alexander,Still Life with Goblets,1959,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3299,https://collections.ed.ac.uk/art/record/22743?highlight=*:*,NA,NA,NA
Alan M. Alexander,Unknown,1956,1950s; 20th century,Profile portrait of seated female figure in high-collared long dress holding a violin and facing the left of the composition.,graphite (mineral)/inorganic material/materials (substances),32.8cm (W) x 41.2cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3520,https://collections.ed.ac.uk/art/record/50594?highlight=*:*,NA,NA,NA
Alan M. Alexander,Unknown,NA,1950s; 20th century,Full length portrait of seated female figure in long high-collared dress with wide-brimmed hat. Figure looking down and to her left with her hands resting on her thighs.,graphite (mineral)/inorganic material/materials (substances),20cm (W) x 32cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3524,https://collections.ed.ac.uk/art/record/50598?highlight=*:*,NA,NA,NA
Alan M. Alexander,Unknown,1960,1960s; 20th century,"Still life with vase of flowers, pomegranate, goblet and stemmed bowl on table with fish patterned cloth. Landscape in background featuring large monumental arch.",graphite (mineral)/inorganic material/materials (substances),38cm (W) x 33cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3522,https://collections.ed.ac.uk/art/record/50596?highlight=*:*,NA,NA,NA
Alan M. Alexander,Head Monotype No. 24,1959,1950s; 20th century,"Stylised head portrait of female figure with short hair, elaborate earrings and collar.",ink/coating (material)/materials (substances),28.1cm (W) x 35cm (H),Art Collection; Edinburgh College of Art,prints (visual works); monoprints (painting and printing works),NA,EU3518,https://collections.ed.ac.uk/art/record/50592?highlight=*:*,NA,NA,NA
Alan T. Johnston (b.1945),Portrait of a Man in Red Shirt,1968,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2297,https://collections.ed.ac.uk/art/record/21423?highlight=*:*,NA,NA,NA
Alan T. Johnston (b.1945),Seated Female Nude,1968,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2298,https://collections.ed.ac.uk/art/record/21424?highlight=*:*,NA,NA,NA
